tanggal,jumlah,kategori,deskripsi,metode pembayaran
2022-01-05,200000,Pendapatan,Penjualan produk A,Transfer Bank
2022-01-10,150000,Pengeluaran,Pembelian bahan baku,Debit
2022-01-12,300000,Pendapatan,Penjualan produk B,Transfer Bank
2022-01-15,100000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2022-01-18,250000,Pendapatan,Penjualan produk C,Transfer Bank
2022-01-20,200000,Pengeluaran,Pembelian alat tulis,Debit
2022-01-25,50000,Pendapatan,Penjualan produk D,Transfer Bank
2022-01-28,70000,Pengeluaran,Pembayaran sewa,Debit
2022-02-03,150000,Pendapatan,Penjualan produk A,Transfer Bank
2022-02-05,100000,Pengeluaran,Pembelian bahan baku,Debit
2022-02-08,250000,Pendapatan,Penjualan produk B,Transfer Bank
2022-02-12,80000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2022-02-15,300000,Pendapatan,Penjualan produk C,Transfer Bank
2022-02-18,100000,Pengeluaran,Pembelian alat tulis,Debit
2022-02-22,40000,Pendapatan,Penjualan produk D,Transfer Bank
2022-02-25,60000,Pengeluaran,Pembayaran sewa,Debit
2022-03-01,200000,Pendapatan,Penjualan produk A,Transfer Bank
2022-03-03,150000,Pengeluaran,Pembelian bahan baku,Debit
2022-03-06,300000,Pendapatan,Penjualan produk B,Transfer Bank
2022-03-09,120000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2022-03-12,250000,Pendapatan,Penjualan produk C,Transfer Bank
2022-03-15,200000,Pengeluaran,Pembelian alat tulis,Debit
2022-03-18,70000,Pendapatan,Penjualan produk D,Transfer Bank
2022-03-21,80000,Pengeluaran,Pembayaran sewa,Debit
2022-03-25,100000,Pendapatan,Penjualan produk A,Transfer Bank
2022-03-28,90000,Pengeluaran,Pembelian bahan baku,Debit
2023-01-05,220000,Pendapatan,Penjualan produk E,Transfer Bank
2023-01-08,170000,Pengeluaran,Pembelian bahan baku,Debit
2023-01-11,280000,Pendapatan,Penjualan produk F,Transfer Bank
2023-01-14,110000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2023-01-17,260000,Pendapatan,Penjualan produk G,Transfer Bank
2023-01-20,180000,Pengeluaran,Pembelian alat tulis,Debit
2023-01-23,55000,Pendapatan,Penjualan produk H,Transfer Bank
2023-01-26,70000,Pengeluaran,Pembayaran sewa,Debit
2023-01-30,50000,Pendapatan,Penjualan produk I,Transfer Bank
2023-02-02,150000,Pendapatan,Penjualan produk E,Transfer Bank
2023-02-05,120000,Pengeluaran,Pembelian bahan baku,Debit
2023-02-08,300000,Pendapatan,Penjualan produk F,Transfer Bank
2023-02-12,95000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2023-02-15,270000,Pendapatan,Penjualan produk G,Transfer Bank
2023-02-18,140000,Pengeluaran,Pembelian alat tulis,Debit
2023-02-21,50000,Pendapatan,Penjualan produk H,Transfer Bank
2023-02-24,80000,Pengeluaran,Pembayaran sewa,Debit
2024-01-03,210000,Pendapatan,Penjualan produk J,Transfer Bank
2024-01-06,160000,Pengeluaran,Pembelian bahan baku,Debit
2024-01-09,290000,Pendapatan,Penjualan produk K,Transfer Bank
2024-01-12,130000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2024-01-15,240000,Pendapatan,Penjualan produk L,Transfer Bank
2024-01-18,190000,Pengeluaran,Pembelian alat tulis,Debit
2024-01-21,65000,Pendapatan,Penjualan produk M,Transfer Bank
2024-01-24,70000,Pengeluaran,Pembayaran sewa,Debit
2024-01-27,100000,Pendapatan,Penjualan produk N,Transfer Bank
2024-02-01,160000,Pendapatan,Penjualan produk J,Transfer Bank
2024-02-04,130000,Pengeluaran,Pembelian bahan baku,Debit
2024-02-07,280000,Pendapatan,Penjualan produk K,Transfer Bank
2024-02-10,90000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2024-02-13,250000,Pendapatan,Penjualan produk L,Transfer Bank
2024-02-16,120000,Pengeluaran,Pembelian alat tulis,Debit
2024-02-19,55000,Pendapatan,Penjualan produk M,Transfer Bank
2024-02-22,70000,Pengeluaran,Pembayaran sewa,Debit
2025-01-01,200000,Pendapatan,Penjualan produk O,Transfer Bank
2025-01-05,150000,Pengeluaran,Pembelian bahan baku,Debit
2025-01-08,280000,Pendapatan,Penjualan produk P,Transfer Bank
2025-01-11,100000,Pengeluaran,Pembayaran listrik,Kartu Kredit
2025-01-14,260000,Pendapatan,Penjualan produk Q,Transfer Bank
2025-01-17,180000,Pengeluaran,Pembelian alat tulis,Debit
2025-01-20,70000,Pendapatan,Penjualan produk R,Transfer Bank
2025-01-23,80000,Pengeluaran,Pembayaran sewa,Debit
2025-01-26,90000,Pendapatan,Penjualan produk S,Transfer Bank
